|FPS|: 487
['19'] : 67040
['37'] : 67042
['55'] : 67044
['72'] : 66041
['75'] : 67245
['88'] : 66928
['91'] : 67473
['106'] : 66819
['109'] : 67469
['124'] : 66710
['127'] : 67465
['19', '37'] : 66525
['19', '55'] : 66527
['19', '75'] : 66728
['19', '88'] : 66411
['19', '91'] : 66956
['19', '106'] : 66302
['19', '109'] : 66952
['19', '124'] : 66193
['19', '127'] : 66948
['37', '55'] : 66529
['37', '75'] : 66730
['37', '88'] : 66413
['37', '91'] : 66958
['37', '106'] : 66304
['37', '109'] : 66954
['37', '124'] : 66195
['37', '127'] : 66950
['55', '75'] : 66732
['55', '88'] : 66415
['55', '91'] : 66960
['55', '106'] : 66306
['55', '109'] : 66956
['55', '124'] : 66197
['55', '127'] : 66952
['72', '75'] : 66041
['72', '91'] : 65957
['72', '109'] : 65953
['72', '127'] : 65949
['75', '88'] : 66616
['75', '91'] : 67161
['75', '106'] : 66507
['75', '109'] : 67157
['75', '124'] : 66398
['75', '127'] : 67153
['88', '91'] : 66928
['88', '106'] : 66190
['88', '109'] : 66840
['88', '124'] : 66081
['88', '127'] : 66836
['91', '106'] : 66735
['91', '109'] : 67385
['91', '124'] : 66626
['91', '127'] : 67381
['106', '109'] : 66819
['106', '124'] : 65972
['106', '127'] : 66727
['109', '124'] : 66622
['109', '127'] : 67377
['124', '127'] : 66710
['37', '75', '91', '124'] : 65799
['37', '75', '106', '109'] : 65992
['37', '75', '106', '127'] : 65900
['37', '75', '109', '127'] : 66550
['37', '75', '109', '124'] : 65795
['37', '75', '124', '127'] : 65883
['37', '88', '91', '109'] : 66325
['37', '88', '91', '127'] : 66321
['37', '88', '91', '106'] : 65675
['37', '88', '91', '124'] : 65566
['37', '88', '106', '109'] : 65675
['37', '88', '106', '127'] : 65583
['37', '88', '109', '127'] : 66233
['37', '88', '124', '127'] : 65566
['37', '91', '106', '109'] : 66220
['37', '91', '106', '127'] : 66128
['37', '91', '109', '127'] : 66778
['37', '91', '109', '124'] : 66023
['37', '91', '124', '127'] : 66111
['37', '106', '109', '127'] : 66212
['37', '109', '124', '127'] : 66107
['55', '75', '91', '109'] : 66560
['55', '75', '91', '127'] : 66556
['55', '75', '91', '106'] : 65910
['55', '75', '91', '124'] : 65801
['55', '75', '109', '127'] : 66552
['55', '75', '109', '124'] : 65797
['55', '75', '88', '109'] : 66015
['55', '75', '88', '127'] : 66011
['55', '75', '88', '91'] : 66103
['55', '75', '106', '109'] : 65994
['55', '75', '106', '127'] : 65902
['55', '75', '124', '127'] : 65885
['55', '88', '91', '109'] : 66327
['55', '88', '91', '127'] : 66323
['55', '88', '91', '106'] : 65677
['55', '88', '91', '124'] : 65568
['55', '88', '109', '127'] : 66235
['55', '88', '106', '109'] : 65677
['55', '88', '106', '127'] : 65585
['55', '88', '124', '127'] : 65568
['55', '91', '109', '127'] : 66780
['55', '91', '109', '124'] : 66025
['55', '91', '106', '109'] : 66222
['55', '91', '106', '127'] : 66130
['55', '91', '124', '127'] : 66113
['55', '106', '109', '127'] : 66214
['55', '109', '124', '127'] : 66109
['72', '75', '91', '109'] : 65869
['72', '75', '91', '127'] : 65865
['72', '75', '109', '127'] : 65861
['72', '91', '109', '127'] : 65777
['75', '88', '91', '106'] : 65878
['75', '88', '91', '109'] : 66528
['75', '88', '91', '124'] : 65769
['75', '88', '91', '127'] : 66524
['75', '88', '106', '109'] : 65878
['75', '88', '106', '127'] : 65786
['75', '88', '109', '124'] : 65681
['75', '88', '109', '127'] : 66436
['75', '88', '124', '127'] : 65769
['75', '91', '106', '109'] : 66423
['75', '91', '106', '127'] : 66331
['75', '91', '106', '124'] : 65576
['75', '91', '109', '127'] : 66981
['75', '91', '109', '124'] : 66226
['75', '91', '124', '127'] : 66314
['75', '106', '109', '124'] : 65660
['75', '106', '109', '127'] : 66415
['75', '106', '124', '127'] : 65660
['75', '109', '124', '127'] : 66310
['88', '91', '106', '109'] : 66190
['88', '91', '106', '127'] : 66098
['88', '91', '109', '124'] : 65993
['88', '91', '109', '127'] : 66748
['88', '91', '124', '127'] : 66081
['88', '106', '109', '127'] : 66098
['88', '109', '124', '127'] : 65993
['91', '106', '109', '124'] : 65888
['91', '106', '109', '127'] : 66643
['91', '106', '124', '127'] : 65888
['91', '109', '124', '127'] : 66538
['106', '109', '124', '127'] : 65972
['19', '37', '55', '75', '91'] : 65616
['19', '37', '55', '75', '109'] : 65612
['19', '37', '55', '75', '127'] : 65608
['19', '37', '55', '91', '109'] : 65840
['19', '37', '55', '91', '127'] : 65836
['19', '37', '55', '109', '127'] : 65832
['19', '37', '75', '88', '91'] : 65584
['19', '37', '75', '91', '109'] : 66041
['19', '37', '75', '91', '127'] : 66037
['19', '37', '75', '109', '127'] : 66033
['19', '37', '88', '91', '109'] : 65808
['19', '37', '88', '91', '127'] : 65804
['19', '37', '88', '109', '127'] : 65716
['19', '37', '91', '106', '109'] : 65703
['19', '37', '91', '106', '127'] : 65611
['19', '37', '91', '109', '127'] : 66261
['19', '37', '91', '124', '127'] : 65594
['19', '37', '106', '109', '127'] : 65695
['19', '37', '109', '124', '127'] : 65590
['19', '55', '75', '88', '91'] : 65586
['19', '55', '75', '91', '109'] : 66043
['19', '55', '75', '91', '127'] : 66039
['19', '55', '75', '109', '127'] : 66035
['19', '55', '88', '91', '109'] : 65810
['19', '55', '88', '91', '127'] : 65806
['19', '55', '88', '109', '127'] : 65718
['19', '55', '91', '106', '109'] : 65705
['19', '55', '91', '106', '127'] : 65613
['19', '55', '91', '109', '127'] : 66263
['19', '55', '91', '124', '127'] : 65596
['19', '55', '106', '109', '127'] : 65697
['19', '55', '109', '124', '127'] : 65592
['19', '75', '88', '91', '109'] : 66011
['19', '75', '88', '91', '127'] : 66007
['19', '75', '88', '109', '127'] : 65919
['19', '75', '91', '106', '109'] : 65906
['19', '75', '91', '106', '127'] : 65814
['19', '75', '91', '109', '127'] : 66464
['19', '75', '91', '109', '124'] : 65709
['19', '75', '91', '124', '127'] : 65797
['19', '75', '106', '109', '127'] : 65898
['19', '75', '109', '124', '127'] : 65793
['19', '88', '91', '106', '109'] : 65673
['19', '88', '91', '106', '127'] : 65581
['19', '88', '91', '109', '127'] : 66231
['19', '88', '91', '124', '127'] : 65564
['19', '88', '106', '109', '127'] : 65581
['19', '91', '106', '109', '127'] : 66126
['19', '91', '109', '124', '127'] : 66021
['37', '55', '75', '91', '109'] : 66045
['37', '55', '75', '91', '127'] : 66041
['37', '55', '75', '109', '127'] : 66037
['37', '55', '75', '88', '91'] : 65588
['37', '55', '88', '91', '109'] : 65812
['37', '55', '88', '91', '127'] : 65808
['37', '55', '88', '109', '127'] : 65720
['37', '55', '91', '109', '127'] : 66265
['37', '55', '91', '106', '127'] : 65615
['37', '55', '91', '106', '109'] : 65707
['37', '55', '91', '124', '127'] : 65598
['37', '55', '106', '109', '127'] : 65699
['37', '55', '109', '124', '127'] : 65594
['37', '75', '88', '91', '109'] : 66013
['37', '75', '88', '91', '127'] : 66009
['37', '75', '88', '109', '127'] : 65921
['37', '75', '91', '109', '127'] : 66466
['37', '75', '91', '109', '124'] : 65711
['37', '75', '91', '106', '127'] : 65816
['37', '75', '91', '106', '109'] : 65908
['37', '75', '91', '124', '127'] : 65799
['37', '75', '106', '109', '127'] : 65900
['37', '75', '109', '124', '127'] : 65795
['37', '88', '91', '109', '127'] : 66233
['37', '88', '91', '106', '127'] : 65583
['37', '88', '91', '106', '109'] : 65675
['37', '88', '91', '124', '127'] : 65566
['37', '88', '106', '109', '127'] : 65583
['37', '91', '106', '109', '127'] : 66128
['37', '91', '109', '124', '127'] : 66023
['55', '75', '91', '109', '127'] : 66468
['55', '75', '91', '109', '124'] : 65713
['55', '75', '91', '106', '127'] : 65818
['55', '75', '91', '106', '109'] : 65910
['55', '75', '91', '124', '127'] : 65801
['55', '75', '109', '124', '127'] : 65797
['55', '75', '88', '109', '127'] : 65923
['55', '75', '88', '91', '127'] : 66011
['55', '75', '88', '91', '109'] : 66015
['55', '75', '106', '109', '127'] : 65902
['55', '88', '91', '109', '127'] : 66235
['55', '88', '91', '106', '127'] : 65585
['55', '88', '91', '106', '109'] : 65677
['55', '88', '91', '124', '127'] : 65568
['55', '88', '106', '109', '127'] : 65585
['55', '91', '109', '124', '127'] : 66025
['55', '91', '106', '109', '127'] : 66130
['72', '75', '91', '109', '127'] : 65777
['75', '88', '91', '106', '109'] : 65878
['75', '88', '91', '106', '127'] : 65786
['75', '88', '91', '109', '127'] : 66436
['75', '88', '91', '109', '124'] : 65681
['75', '88', '91', '124', '127'] : 65769
['75', '88', '106', '109', '127'] : 65786
['75', '88', '109', '124', '127'] : 65681
['75', '91', '106', '109', '127'] : 66331
['75', '91', '106', '109', '124'] : 65576
['75', '91', '106', '124', '127'] : 65576
['75', '91', '109', '124', '127'] : 66226
['75', '106', '109', '124', '127'] : 65660
['88', '91', '106', '109', '127'] : 66098
['88', '91', '109', '124', '127'] : 65993
['91', '106', '109', '124', '127'] : 65888
['19', '37', '55', '91', '109', '127'] : 65748
['19', '37', '75', '91', '109', '127'] : 65949
['19', '37', '88', '91', '109', '127'] : 65716
['19', '37', '91', '106', '109', '127'] : 65611
['19', '55', '75', '91', '109', '127'] : 65951
['19', '55', '88', '91', '109', '127'] : 65718
['19', '55', '91', '106', '109', '127'] : 65613
['19', '75', '88', '91', '109', '127'] : 65919
['19', '75', '91', '106', '109', '127'] : 65814
['19', '75', '91', '109', '124', '127'] : 65709
['19', '88', '91', '106', '109', '127'] : 65581
['37', '55', '75', '91', '109', '127'] : 65953
['37', '55', '88', '91', '109', '127'] : 65720
['37', '55', '91', '106', '109', '127'] : 65615
['37', '75', '88', '91', '109', '127'] : 65921
['37', '75', '91', '109', '124', '127'] : 65711
['37', '75', '91', '106', '109', '127'] : 65816
['37', '88', '91', '106', '109', '127'] : 65583
['55', '75', '91', '109', '124', '127'] : 65713
['55', '75', '91', '106', '109', '127'] : 65818
['55', '75', '88', '91', '109', '127'] : 65923
['55', '88', '91', '106', '109', '127'] : 65585
['75', '88', '91', '106', '109', '127'] : 65786
['75', '88', '91', '109', '124', '127'] : 65681
['75', '91', '106', '109', '124', '127'] : 65576
